Player,Nation,Position,Team,Age,Match,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Gls/90,Ast/90,xG/90,xAG/90
Julián Chicco,ARG,Midfielder (MF),Leganés,26,14,302,0,1,0,0,"0,5","0,2",0,"0,3","0,14","0,05"
Chiquinho,POR,Midfielder (MF),Mallorca,24,8,146,0,0,2,0,"0,3",0,0,0,"0,19","0,02"
Andreas Christensen,DEN,Defender (DF),Barcelona,28,5,254,0,0,3,0,0,0,0,0,"0,01","0,01"
Jasper Cillessen,NED,Goalkeeper (GK),Las Palmas,35,27,2335,0,0,1,0,0,0,0,0,0,0
Pathé Ciss,SEN,Midfielder (MF),Rayo Vallecano,30,33,2140,4,1,12,0,"1,8","1,1","0,17","0,04","0,08","0,05"
Seydouba Cissé,GUI,Midfielder (MF),Leganés,23,34,2435,3,1,3,1,3,1,"0,11","0,04","0,11","0,04"
Silvi Clúa,ESP,Midfielder (MF),Girona,19,4,163,0,0,0,0,0,0,0,0,"0,02","0,02"
Eray Cömert,SUI,Defender (DF),Valladolid,26,25,1779,0,0,6,0,"0,9",0,0,0,"0,04",0
Santi Comesaña,ESP,Midfielder (MF),Villarreal,27,35,2560,4,2,7,0,"4,6",2,"0,14","0,07","0,16","0,07"
Diego Conde,ESP,Goalkeeper (GK),Villarreal,25,22,1962,0,1,2,0,0,"0,2",0,"0,05",0,"0,01"
Tomás Conechny,ARG,Forward (FW),Alavés,26,22,847,1,0,8,0,"2,4","0,3","0,11",0,"0,26","0,03"
Copete,ESP,Defender (DF),Mallorca,24,25,1528,0,0,6,0,"0,5",0,0,0,"0,03",0
Iker Córdoba,ESP,Defender (DF),Valencia,18,2,15,0,0,0,0,0,"0,1",0,0,0,"0,45"
Ángel Correa,ARG,Forward (FW),Atlético Madrid,29,31,805,4,1,3,1,"4,5","2,1","0,45","0,11","0,51","0,23"
Thierry Correia,POR,Defender (DF),Valencia,25,11,768,0,0,1,0,"0,3","0,3",0,0,"0,04","0,04"
Coba da Costa,ESP,Midfielder (MF),Getafe,22,19,1006,1,1,4,0,"1,1","1,4","0,09","0,09","0,1","0,13"
Logan Costa,CPV,Defender (DF),Villarreal,23,32,2587,2,1,3,0,"0,7","0,6","0,07","0,03","0,02","0,02"
Samu Costa,POR,Midfielder (MF),Mallorca,23,32,2649,0,2,10,1,"1,8","1,2",0,"0,07","0,06","0,04"
Thibaut Courtois,BEL,Goalkeeper (GK),Real Madrid,32,30,2700,0,0,1,0,0,"0,1",0,0,0,0
Juan Cruz Armada,ESP,Defender (DF),Osasuna,32,25,1492,0,0,4,0,"0,1",0,0,0,"0,01",0
Juan Cruz,ESP,Forward (FW),Leganés,24,34,2257,5,4,2,0,"2,7","4,1","0,2","0,16","0,11","0,17"
Pau Cubarsí,ESP,Defender (DF),Barcelona,17,35,2618,0,3,3,0,"0,8","1,6",0,"0,1","0,03","0,06"
Cucho,COL,Forward (FW),Betis,25,15,1139,5,1,0,0,"3,8","1,5","0,4","0,08","0,3","0,12"
Arnaut Danjuma,NED,Forward (FW),Villarreal,27,3,200,2,0,1,0,"0,8",0,"0,9",0,"0,37","0,01"
Arnaut Danjuma,NED,Forward (FW),Girona,27,25,1335,2,0,2,0,"3,6","1,7","0,13",0,"0,24","0,11"
Sergi Darder,ESP,Midfielder (MF),Mallorca,30,38,2744,2,6,4,0,"2,1","3,7","0,07","0,2","0,07","0,12"
Rodrigo De Paul,ARG,Midfielder (MF),Atlético Madrid,30,34,2106,3,5,7,0,"1,3","5,6","0,13","0,21","0,06","0,24"
Mouctar Diakhaby,GUI,Defender (DF),Valencia,27,13,653,2,0,0,0,"1,5",0,"0,28",0,"0,2",0
Assane Diao,SEN,Forward (FW),Betis,18,10,277,1,2,0,0,"0,8","1,5","0,32","0,65","0,26","0,5"
Moussa Diarra,MLI,Defender (DF),Alavés,23,26,1866,0,0,6,0,0,"0,1",0,0,0,"0,01"
Brahim Díaz,MAR,Forward (FW),Real Madrid,24,31,1385,4,2,0,0,"5,3","3,3","0,26","0,13","0,34","0,22"
Daniel Díaz,ESP,Midfielder (MF),Real Sociedad,18,1,10,0,0,0,0,0,0,0,0,0,0
Pedro Díaz,ESP,Midfielder (MF),Rayo Vallecano,26,26,1211,3,0,2,0,"2,4","2,1","0,22",0,"0,18","0,16"
Diego,ESP,Forward (FW),Leganés,24,28,1195,3,0,2,0,"3,8","0,2","0,23",0,"0,28","0,02"
Stole Dimitrievski,MKD,Goalkeeper (GK),Valencia,30,4,360,0,0,1,0,0,0,0,0,0,0
Yan Diomandé,CIV,Midfielder (MF),Leganés,17,10,545,2,1,1,0,"1,4","0,9","0,33","0,17","0,24","0,14"
Álvaro djaló,ESP,Forward (FW),Athletic Club,24,17,659,1,0,2,0,"0,8","0,9","0,14",0,"0,11","0,12"
Djené,TOG,Defender (DF),Getafe,32,31,2548,0,0,10,1,"0,3","0,6",0,0,"0,01","0,02"
Marko Dmitrović,SRB,Goalkeeper (GK),Leganés,32,32,2880,0,0,0,0,0,"0,2",0,0,0,"0,01"
Marc Domenech,ESP,Forward (FW),Mallorca,18,10,303,0,0,0,0,"0,7","0,2",0,0,"0,22","0,06"
Carlos Dominguez,ESP,Defender (DF),Celta Vigo,23,19,1181,0,0,1,0,"0,2","0,1",0,0,"0,02",0
Israel Domínguez,ESP,Forward (FW),Sevilla,21,1,18,0,0,0,0,0,0,0,0,0,0
Sergi Dominguez,ESP,Defender (DF),Barcelona,19,3,172,0,0,1,0,0,0,0,0,0,0
Anastasios Douvikas,GRE,Forward (FW),Celta Vigo,24,20,700,3,1,2,0,"4,4","0,2","0,39","0,13","0,57","0,03"
Domingos Duarte,POR,Defender (DF),Getafe,29,22,1859,1,0,4,2,"0,2","0,1","0,05",0,"0,01",0
Duk,CPV,Midfielder (MF),Leganés,24,10,179,0,0,1,0,0,"0,7",0,0,"0,01","0,33"
Pablo Durán,ESP,Forward (FW),Celta Vigo,23,27,1394,4,4,3,0,"3,6","2,8","0,26","0,26","0,24","0,18"
Hugo Duro,ESP,Forward (FW),Valencia,24,31,2166,11,2,5,0,"9,4","1,3","0,46","0,08","0,39","0,05"
Chidera Ejuke,NGA,Forward (FW),Sevilla,26,25,966,2,1,0,0,"1,1","1,9","0,19","0,09","0,1","0,17"
Aritz Elustondo,ESP,Defender (DF),Real Sociedad,30,22,1457,0,0,2,1,"0,4","0,2",0,0,"0,03","0,01"
Adri Embarba,ESP,Forward (FW),Rayo Vallecano,32,35,1607,1,1,4,0,"2,1","2,7","0,06","0,06","0,12","0,15"
Endrick,BRA,Forward (FW),Real Madrid,18,22,363,1,0,1,0,"2,5","0,5","0,25",0,"0,61","0,12"
Alfonso Espino,URU,Defender (DF),Rayo Vallecano,32,16,833,0,1,4,0,"0,4","0,6",0,"0,11","0,05","0,07"
Dario Essugo,POR,Midfielder (MF),Las Palmas,19,27,1938,1,0,11,2,"0,7","0,4","0,05",0,"0,03","0,02"
Etienne Eto'o,CMR,Forward (FW),Rayo Vallecano,21,2,40,0,0,0,0,0,0,0,0,0,0
Karl Etta,CMR,Midfielder (MF),Villarreal,20,4,37,1,0,0,0,"0,4",0,"2,43",0,"0,88",0
Edu Expósito,ESP,Midfielder (MF),Espanyol,27,19,1045,0,2,3,0,1,"3,2",0,"0,17","0,09","0,27"
Abde Ezzalzouli,MAR,Forward (FW),Betis,22,32,1984,2,2,2,0,8,2,"0,09","0,09","0,36","0,09"
Ansu Fati,ESP,Forward (FW),Barcelona,21,6,233,0,0,1,0,1,"0,2",0,0,"0,38","0,06"
Nabil Fekir,FRA,Midfielder (MF),Betis,31,2,180,0,1,0,0,"0,7","0,6",0,"0,5","0,34","0,28"
Kiko Femenía,ESP,Defender (DF),Villarreal,33,28,2227,0,1,7,0,"0,4","1,3",0,"0,04","0,01","0,05"
Aitor Fernández,ESP,Goalkeeper (GK),Osasuna,33,1,90,0,0,0,0,0,0,0,0,0,0
Álvaro Fernández,ESP,Goalkeeper (GK),Sevilla,26,9,747,0,0,2,0,0,"0,1",0,0,0,"0,02"
Pelayo Fernandez,ESP,Defender (DF),Rayo Vallecano,21,2,98,0,0,1,0,0,0,0,0,0,0
Roberto Férnandez,ESP,Forward (FW),Espanyol,22,19,1497,6,0,1,0,"3,6","0,6","0,36",0,"0,21","0,04"
Valery Fernández,ESP,Midfielder (MF),Mallorca,24,18,309,2,0,1,0,"0,8",0,"0,58",0,"0,24","0,01"
André Ferreira,POR,Goalkeeper (GK),Valladolid,28,6,540,0,0,0,0,0,0,0,0,0,0
Mateo Flores,ESP,Midfielder (MF),Betis,20,6,153,0,0,1,0,0,0,0,0,0,0
Pablo Fornals,ESP,Midfielder (MF),Betis,28,26,1827,2,0,2,0,"1,8","3,3","0,1",0,"0,09","0,16"
Héctor Fort,ESP,Defender (DF),Barcelona,17,17,585,0,0,2,0,"0,2","0,9",0,0,"0,04","0,13"
Dimitri Foulquier,FRA,Defender (DF),Valencia,31,32,2299,0,1,6,0,"0,4","1,4",0,"0,04","0,02","0,05"
Juan Foyth,ARG,Defender (DF),Villarreal,26,19,1517,1,0,4,0,"2,4","0,3","0,06",0,"0,14","0,02"
Fran,ESP,Goalkeeper (GK),Real Madrid,19,1,90,0,0,0,0,0,0,0,0,0,0
Alejandro Francés,ESP,Defender (DF),Girona,21,18,1173,0,0,2,0,"0,2","0,3",0,0,"0,02","0,03"
Enric Franquesa,ESP,Defender (DF),Leganés,27,12,616,1,0,1,0,"0,3","0,1","0,15",0,"0,04","0,02"
Jorge de Frutos,ESP,Forward (FW),Rayo Vallecano,27,36,2495,6,3,3,1,"6,3","3,4","0,22","0,11","0,23","0,12"
Darío Fuentes,ESP,Defender (DF),Sevilla,21,1,5,0,0,1,0,0,0,0,0,0,0
Manuel Fuster,ESP,Forward (FW),Las Palmas,26,28,1003,2,1,2,0,"0,7","1,8","0,18","0,09","0,07","0,16"
Javi Galán,ESP,Defender (DF),Atlético Madrid,29,25,1784,0,3,8,0,"0,2","3,9",0,"0,15","0,01","0,19"
Iñigo Ruiz de Galarreta,ESP,Midfielder (MF),Athletic Club,30,26,1477,0,4,5,0,"0,5","2,9",0,"0,24","0,03","0,18"
Conor Gallagher,ENG,Midfielder (MF),Atlético Madrid,24,32,1633,3,3,2,0,"2,8","1,2","0,17","0,17","0,15","0,06"
Facundo Garcés,MAS,Defender (DF),Alavés,24,10,678,0,0,2,0,"0,1","0,8",0,0,"0,01","0,11"
Álvaro García,ESP,Forward (FW),Rayo Vallecano,31,36,2559,4,5,4,0,"7,6",5,"0,14","0,18","0,27","0,18"
Eric García,ESP,Defender (DF),Barcelona,23,29,1566,2,3,4,0,"2,3","0,8","0,11","0,17","0,13","0,05"
Fran Garcia,ESP,Defender (DF),Real Madrid,24,31,2171,0,2,0,0,"0,9","1,8",0,"0,08","0,04","0,08"
Gonzalo García,ESP,Forward (FW),Real Madrid,20,3,56,0,1,0,0,"0,5",1,0,"1,61","0,79","1,56"
Joan García,ESP,Goalkeeper (GK),Espanyol,23,38,3420,0,0,2,0,"0,1",0,0,0,0,0
Pablo Garcia,ESP,Forward (FW),Betis,17,3,38,0,0,0,0,0,0,0,0,0,0
